#	number	of	years
31																									
#	number	of	ages	classes
14	
#	number	of	length	intervals
31
#	Abundance	indexes	&	landings						
# (HB= acoustic survey, ST= southern trawl, CT= central trawl, PS= purse seine, Y=landings, cv= coeff. of variation)
#Yr		HB		cv		CPUEst	cv	CPUEps	cv	Yps		cv		Yst		cv		Yct		cv			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	Catch-at-age:	Southern-area	trawl
#1	2	3	4	5	6	7	8	9	10	11	12	13	14																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
16	1999	8496	9066	19724	33462	16359	6545	2496	1079	480	186	81	12
84	703	3364	16904	15720	30051	20831	7612	3032	1141	424	97	34	2
107	3099	4664	12246	20162	20000	15825	13887	6469	2768	526	116	130	0
264	2313	3699	7936	18081	30690	14783	9645	6872	3876	1543	116	182	0
77	1863	3010	8063	19844	21207	20884	12838	7388	2658	1604	476	38	50
302	4406	11399	11470	11442	12073	14518	14267	11950	4423	2612	699	366	74
7	981	9303	11199	14405	11197	13612	14811	12441	7556	2702	1379	368	39
22	2669	1596	10211	16379	12365	13979	15126	12638	9225	3609	798	686	697
